channel,channel_id,english,gamer,influence_score,followers,avg_views,posts,eng_rate_60_day,new_video_avg_views,total_views,country
PewDiePie,UC-lHJZR3Gqxm24_Vd_AJ5Yw,1,1,88,111.0m,7.6m,4.8k,2.80%,2.6m,29.2b,Japan
A4,UC2tsySbe9TNrI-xh2lximHA,0,1,61,51.3m,20.8m,868,21.90%,10.1m,26.6b,Belarus
JuegaGerman,UCYiGq8XF7YQD00x7wAd62Zg,0,1,82,49.3m,5.3m,2.1k,3.00%,1.1m,15.1b,Chile
Mikecrack,UCqJ5zFEED1hWs0KNQCQuYdQ,0,1,59,47.7m,9.3m,2.0k,5.10%,2.1m,17.8b,Spain
Fernanfloo,UCV4xOVpbcV8SdueDCOxLXtQ,0,1,82,46.9m,30.8m,544,4.00%,0,10.5b,El Salvador
Felipe Neto,UCV306eHqgo0LvBf3Mh36AHg,0,1,79,46.1m,2.4m,4.6k,1.50%,480.3k,17.4b,Brazil
Jess No Limit,UCvh1at6xpV1ytYOAzxmqUsA,0,1,65,45.8m,1.8m,2.7k,2.50%,1.0m,5.9b,United States
BETER BÖCÜK,UC6gVx_vALsYT-z_u1djJbBQ,0,1,86,40.6m,205.7k,3.4k,2.80%,1.1m,24.2b,Turkey
Total Gaming,UC5c9VlYTSvBSCaoMu_GI6gQ,0.5,1,61,39.7m,2.6m,788,30.70%,12.0m,5.0b,India
Techno Gamerz,UCX8pnu3DYUnx8qy8V_c6oHg,0.5,1,20,38.1m,10.3m,1.0k,19.70%,7.0m,11.1b,India
AboFlah,UCqq5n-Oe-r1EEHI3yvhVJcA,0,1,40,37.3m,9.1m,687,23.10%,7.9m,5.5b,Kuwait
Markiplier,UC7_YxT-KID8kRbqZo7MyscQ,1,1,80,36.4m,3.8m,5.6k,8.50%,2.9m,21.2b,United States
Frost Diamond,UC4hGmH5sABOA70D4fGb8qNQ,0,1,74,35.4m,1.6m,3.2k,1.50%,464.8k,8.5b,Indonesia
SSSniperWolf,UCpB959t8iPrxQWj7G6n0ctQ,1,1,72,34.3m,6.6m,3.5k,4.00%,1.2m,24.6b,United States
VEGETTA777,UCam8T03EOFBsNdR0thrFHdQ,0,1,81,34.0m,1.3m,7.8k,1.20%,325.2k,15.7b,Spain
rezendeevil,UCbTVTephX30ZhQF5zwFppBg,0,1,78,32.7m,881.1k,12.1k,1.20%,302.0k,13.3b,Brazil
jacksepticeye,UCYzPXprvl5Y-Sf0g4vX-m6g,1,1,80,30.6m,3.1m,5.2k,5.60%,1.6m,16.6b,Ireland
DanTDM,UCS5Oz6CHmeoF7vSad0qqXfw,1,1,79,28.5m,3.8m,3.7k,8.50%,2.3m,19.7b,United Kingdom
VanossGaming,UCKqH_9mk1waLgBiL2vT5b9g,1,1,81,25.9m,2.6m,1.9k,4.40%,1.1m,15.9b,United States
Preston,UC70Dib4MvFfT1tU6MqeyHpQ,1,1,70,25.8m,8.3m,4.1k,23.60%,5.9m,9.4b,United States
FaZe Rug,UCilwZiBBfI9X6yiZRzWty8Q,1,0,72,25.2m,4.8m,2.3k,11.80%,2.8m,8.3b,United States
Ninja,UCAW-NpUFkMyCNrvRSSGIvDQ,1,1,31,23.9m,592.8k,1.9k,1.00%,219.2k,2.6b,United States
DUDU e CAROL,UC371icpvZj2oQaocL0i9L-g,0,1,62,23.9m,20.9m,3.0k,88.90%,20.4m,11.7b,Brazil
Jelly,UC0DZmkupLYwc0yDsfocLh0A,1,1,73,23.6m,1.7m,6.3k,1.40%,257.3k,15.0b,United Kingdom
invictor,UChOQkbLHWi3zSCUjT7Kjd1g,0,1,28,23.6m,3.7m,2.5k,3.40%,667.0k,9.1b,Spain
SSundee,UCke6I9N4KfC968-yRcd5YRg,1,1,74,23.3m,4.9m,3.5k,7.50%,1.5m,14.8b,United States
FGTeeV,UCC-RHF_77zQdKcA75hr5oTQ,1,1,69,23.0m,10.1m,1.8k,7.80%,1.7m,24.7b,United States
IShowSpeed,UCWsDFcIhY2DBi3GB5uykGXA,1,1,62,23.0m,1.8m,1.3k,8.60%,1.9m,2.2b,United States
Minecraft - Topic,,1,0,75,22.5m,N/A,0,,0,0,
LazarBeam,UCw1SQ6QRRtfAhrN_cjkrOgA,1,1,54,21.6m,16.2m,1.3k,28.40%,5.7m,9.2b,Australia
DeGoBooM,UCj9rK3jt8qmih4mZX0UL67g,0,1,59,21.4m,560.5k,5.3k,1.80%,356.9k,6.9b,Chile
MiawAug,UC3J4Q1grz46bdJ7NJLd4DGw,0,1,54,21.3m,1.6m,4.0k,3.80%,754.4k,6.6b,Indonesia
ElTrollino,UCI2FmVp--YL8d7iVFt8mmxg,0,1,55,21.1m,12.9m,1.6k,5.80%,957.5k,6.4b,Spain
Robin Hood Gamer,UCYtaoJSk9iIrFxx8eZB15ag,0,1,64,20.6m,1.8m,4.2k,2.30%,389.5k,10.8b,Brazil
Clash of Clans,UCD1Em4q90ZUK2R5HKesszJg,1,0,76,20.2m,2.8m,795,2.90%,516.5k,4.3b,
AS Gaming,UCMrvxKTx9hLhZcOvJkYOnAw,0.5,1,80,20.1m,1.3m,1.4k,1.80%,267.7k,3.0b,India
AuthenticGames,UCIPA6iWNaoetaa1T46RkzXw,0,1,77,20.1m,478.0k,5.1k,0.30%,37.5k,9.0b,Brazil
شبكة العاب العرب | Arab Games Network,UCV2JkEBmtfSYGAIlprAhAyQ,0,1,51,20.1m,880.8k,6.9k,1.80%,302.7k,9.2b,Saudi Arabia
Aphmau,UCzYfz8uibvnB7Yc1LjePi4g,1,1,65,19.5m,4.2m,4.8k,12.30%,2.3m,20.8b,United States
The Game Theorists,UCo_IB5145EVNcf8hw1Kku7w,1,1,75,19.0m,4.7m,677,18.90%,3.4m,4.1b,United States
Marmok,UCf31Gf5nCU8J6eUlr7QSU0w,0,1,67,18.9m,9.9m,393,17.70%,2.8m,3.6b,Russia
Ali-A,UCYVinkwSX7szARULgYpvhLw,1,1,75,18.8m,1.6m,4.3k,3.20%,548.0k,6.4b,United Kingdom
SQUEEZIE,UCWeg2Pkate69NFdBeuRFTAw,0,1,75,18.7m,8.4m,1.6k,7.40%,947.9k,10.4b,France
PDK Films,UC-F6LZSWz34xKknY8NNCzgQ,1,0,68,18.6m,33.1m,111,1.80%,0,4.2b,United States
zbing z.,UC5zGJZpxeZPFcds5gFcDE7Q,0,1,68,18.5m,1.6m,3.4k,3.00%,528.9k,9.9b,Thailand
TheWillyrex,UC4LHNX8d8RqnDX0OezgmCTg,0,1,77,18.4m,763.5k,7.1k,0.90%,118.4k,7.1b,Spain
RobleisIUTU,UCG8eSYvOQUpb9HM8zU5d6xg,0,1,65,18.3m,1.9m,1.5k,3.90%,612.5k,5.4b,Argentina
TheGrefg,UCCEmjNPpJYhGDgaEqeeA4HA,0,1,69,18.2m,2.6m,3.8k,4.20%,599.3k,6.7b,Spain
IGN,UCKy1dAqELo0zrOtPkf0eTMw,1,1,78,18.0m,153.7k,160.1k,0.80%,137.0k,17.1b,United States
MoreAliA,UCyeVfsThIHM_mEZq7YXIQSQ,1,1,69,18.0m,1.5m,2.5k,5.60%,904.9k,5.6b,United Kingdom
Jesser,UCQIUhhcmXsu6cN6n3y9-Pww,1,0,56,18.0m,2.6m,1.3k,14.30%,2.4m,4.6b,United States
CoryxKenshin,UCiYcA0gJzg855iSKMrX3oHg,1,1,62,17.9m,7.9m,1.7k,2.20%,0,7.6b,United States
GH'S,UCdrBnBNLsN4_cH32HWbr9qg,0.5,0,66,17.7m,9.6m,732,44.10%,7.6m,13.1b,South Korea
TheBrianMaps,UCyJrhZm9KXrzRub3-wD2zWg,0,1,71,17.6m,8.2m,510,18.10%,2.7m,4.7b,Russia
Lyna,UC-cnbLlplnXA4oc7rR21qzg,0,1,60,17.3m,778.9k,5.1k,2.90%,456.0k,7.0b,Argentina
PopularMMOs,UCpGdL9Sn3Q5YWUH2DVUW1Ug,1,1,77,17.1m,2.2m,4.7k,0.30%,0,14.6b,United States
Willyrex,UC8rNKrqBxJqL9izOOMxBJtw,0,1,74,17.1m,622.6k,7.9k,0.70%,93.1k,5.1b,Spain
Guava Juice,UCMNmwqCtCSpftrbvR3KkHDA,1,1,73,16.9m,2.3m,1.9k,1.10%,147.3k,9.2b,United States
Technoblade,UCFAiFyGs6oDiF1Nf-rRJpZA,1,1,41,16.8m,16.8m,992,3.90%,0,1.7b,United States
EeOneGuy,UCrFiA0hztL9e8zTi_qBuW4w,0,1,77,16.7m,4.2m,365,5.80%,528.6k,3.8b,United States
Antrax,UCNbwP-bKUlKrE_5qDwvFILQ,0,1,70,16.4m,3.9m,723,2.50%,214.6k,3.1b,Mexico
Kuplinov ► Play,UCdKuE7a2QZeHPhDntXVZ91w,0,1,67,16.4m,1.4m,6.8k,8.80%,1.4m,7.4b,Russia
W2S,UCjtLOfx1yt1NlnFIDyAX3Ug,0,1,77,16.3m,25.7m,653,2.60%,0,4.8b,United Kingdom
